column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
year,numeric,20,2003,2026,2003,2004,2006,2012,2021,2023,2025.6
quarter,numeric,4,1,4,1,1,1,2,4,4,4
total_ballots,bigint,36,1,428,1,8,40,112,182,240,395.2
active_politicians,bigint,17,349,377,349,349,351,356,358,361,373.4
attendance_rate,numeric,1,100.00000000000000000000,100.00000000000000000000,100,100,100,100,100,100,100
documents_produced,bigint,39,39,3703,84.2,186,245,507,2441,3068,3661
q_baseline_ballots,numeric,4,5.4000000000000000,199.8333333333333333,5.4,5.4,93.1666666666667,141.444444444444,199.833333333333,199.833333333333,199.833333333333
q_stddev_ballots,numeric,4,4.2054386555642784,67.9283792378587003,4.20543865556428,4.20543865556428,34.7414352072772,36.7203261551579,67.9283792378587,67.9283792378587,67.9283792378587
ballot_z_score,numeric,36,-2.9199842735108195,3.3589299380707430,-2.49454025038799,-1.49912797089936,-1.17555237620359,-0.100596148620088,1.29793567365918,2.15177615462969,3.1500900770173
q_baseline_docs,numeric,4,224.5000000000000000,2963.6666666666666667,224.5,224.5,224.5,251.111111111111,2963.66666666667,2963.66666666667,2963.66666666667
q_stddev_docs,numeric,4,111.066090552374,536.116813852390,111.066090552374,111.066090552374,111.066090552374,122.181104194643,436.411031294231,536.11681385239,536.11681385239
doc_z_score,numeric,40,-1.5102430025438330,10.9664165970734121,-1.38520488041038,-0.811181988936851,-0.384194382459651,0.239071255884435,1.45352268354019,1.96101540964317,10.1872453772067
q_baseline_attendance,numeric,1,100.00000000000000000000,100.00000000000000000000,100,100,100,100,100,100,100
q_stddev_attendance,numeric,1,0,0,0,0,0,0,0,0,0
attendance_z_score,numeric,1,0,0,0,0,0,0,0,0,0
max_z_score,numeric,37,1.0393880083035581,10.9664165970734121,1.04073878706543,1.04626422125509,1.18997883123763,1.51024300254383,1.96101540964317,3.35892993807074,10.1872453772067
